,index,y
2,2015-01-01_8QR,9
40305,2015-01-02_8QR,7
80894,2015-01-03_8QR,5
121382,2015-01-04_8QR,5
161892,2015-01-05_8QR,36
202366,2015-01-06_8QR,36
242929,2015-01-07_8QR,30
283363,2015-01-08_8QR,32
323696,2015-01-09_8QR,35
364136,2015-01-10_8QR,6
404710,2015-01-11_8QR,11
445210,2015-01-12_8QR,40
485684,2015-01-13_8QR,35
526163,2015-01-14_8QR,28
566638,2015-01-15_8QR,32
607084,2015-01-16_8QR,32
647614,2015-01-17_8QR,0
687982,2015-01-18_8QR,10
728341,2015-01-19_8QR,39
768727,2015-01-20_8QR,33
809164,2015-01-21_8QR,19
849461,2015-01-22_8QR,26
889686,2015-01-23_8QR,31
930011,2015-01-24_8QR,12
970324,2015-01-25_8QR,7
1010630,2015-01-26_8QR,42
1051006,2015-01-27_8QR,35
1091362,2015-01-28_8QR,31
1131648,2015-01-29_8QR,41
1169328,2015-01-30_8QR,26
1206280,2015-01-31_8QR,7
3314,2015-02-01_8QR,7
43670,2015-02-02_8QR,47
84258,2015-02-03_8QR,36
124746,2015-02-04_8QR,37
165263,2015-02-05_8QR,39
205766,2015-02-06_8QR,41
246324,2015-02-07_8QR,0
286757,2015-02-08_8QR,0
327086,2015-02-09_8QR,40
367530,2015-02-10_8QR,36
408052,2015-02-11_8QR,30
448571,2015-02-12_8QR,33
489087,2015-02-13_8QR,31
529563,2015-02-14_8QR,0
570037,2015-02-15_8QR,7
610480,2015-02-16_8QR,37
651012,2015-02-17_8QR,37
691382,2015-02-18_8QR,19
731737,2015-02-19_8QR,22
772131,2015-02-20_8QR,24
812568,2015-02-21_8QR,5
852868,2015-02-22_8QR,16
893084,2015-02-23_8QR,28
933397,2015-02-24_8QR,25
973724,2015-02-25_8QR,32
1014033,2015-02-26_8QR,31
1054415,2015-02-27_8QR,28
1094768,2015-02-28_8QR,14
6722,2015-03-01_8QR,0
47079,2015-03-02_8QR,29
87664,2015-03-03_8QR,35
128149,2015-03-04_8QR,37
168667,2015-03-05_8QR,35
209156,2015-03-06_8QR,33
249719,2015-03-07_8QR,6
290151,2015-03-08_8QR,19
330491,2015-03-09_8QR,48
370931,2015-03-10_8QR,39
411452,2015-03-11_8QR,38
451969,2015-03-12_8QR,26
492478,2015-03-13_8QR,31
532963,2015-03-14_8QR,8
573437,2015-03-15_8QR,18
613883,2015-03-16_8QR,39
654409,2015-03-17_8QR,37
694780,2015-03-18_8QR,21
735135,2015-03-19_8QR,38
775521,2015-03-20_8QR,36
815959,2015-03-21_8QR,5
856268,2015-03-22_8QR,0
896490,2015-03-23_8QR,35
936796,2015-03-24_8QR,34
977118,2015-03-25_8QR,32
1017438,2015-03-26_8QR,29
1057813,2015-03-27_8QR,25
1098168,2015-03-28_8QR,11
1135884,2015-03-29_8QR,8
1172714,2015-03-30_8QR,24
1209675,2015-03-31_8QR,37
10132,2015-04-01_8QR,31
50488,2015-04-02_8QR,36
91067,2015-04-03_8QR,30
131546,2015-04-04_8QR,7
172063,2015-04-05_8QR,10
212545,2015-04-06_8QR,18
253112,2015-04-07_8QR,36
293547,2015-04-08_8QR,34
333882,2015-04-09_8QR,38
374322,2015-04-10_8QR,37
414848,2015-04-11_8QR,9
455360,2015-04-12_8QR,18
495860,2015-04-13_8QR,40
536337,2015-04-14_8QR,39
576825,2015-04-15_8QR,31
617287,2015-04-16_8QR,34
657796,2015-04-17_8QR,29
698129,2015-04-18_8QR,5
738486,2015-04-19_8QR,12
778866,2015-04-20_8QR,21
819231,2015-04-21_8QR,23
859470,2015-04-22_8QR,24
