,index,y
23376,2022-07-01_BDC,5
144929,2022-07-04_BDC,5
226069,2022-07-06_BDC,40
266585,2022-07-07_BDC,65
306923,2022-07-08_BDC,77
347288,2022-07-09_BDC,59
387820,2022-07-10_BDC,37
428347,2022-07-11_BDC,64
468823,2022-07-12_BDC,57
509287,2022-07-13_BDC,50
549763,2022-07-14_BDC,30
590278,2022-07-15_BDC,47
630705,2022-07-16_BDC,33
671133,2022-07-17_BDC,35
711445,2022-07-18_BDC,44
751787,2022-07-19_BDC,52
792223,2022-07-20_BDC,57
832520,2022-07-21_BDC,52
872763,2022-07-22_BDC,49
913017,2022-07-23_BDC,49
953347,2022-07-24_BDC,36
993705,2022-07-25_BDC,68
1034020,2022-07-26_BDC,64
1074398,2022-07-27_BDC,38
1114696,2022-07-28_BDC,37
1152434,2022-07-29_BDC,49
1189311,2022-07-30_BDC,38
1219697,2022-07-31_BDC,38
26679,2022-08-01_BDC,39
67220,2022-08-02_BDC,48
107726,2022-08-03_BDC,41
148226,2022-08-04_BDC,44
188793,2022-08-05_BDC,41
229368,2022-08-06_BDC,30
269869,2022-08-07_BDC,27
310227,2022-08-08_BDC,38
350589,2022-08-09_BDC,30
391125,2022-08-10_BDC,32
431644,2022-08-11_BDC,43
472108,2022-08-12_BDC,43
512574,2022-08-13_BDC,23
553052,2022-08-14_BDC,22
593558,2022-08-15_BDC,28
634019,2022-08-16_BDC,37
674447,2022-08-17_BDC,31
714775,2022-08-18_BDC,39
755138,2022-08-19_BDC,44
795567,2022-08-20_BDC,44
835883,2022-08-21_BDC,30
876143,2022-08-22_BDC,53
916419,2022-08-23_BDC,47
956748,2022-08-24_BDC,46
997102,2022-08-25_BDC,65
1037423,2022-08-26_BDC,65
1077806,2022-08-27_BDC,56
1118115,2022-08-28_BDC,34
1155847,2022-08-29_BDC,59
1192728,2022-08-30_BDC,90
1223125,2022-08-31_BDC,74
30103,2022-09-01_BDC,101
70647,2022-09-02_BDC,100
111154,2022-09-03_BDC,80
151650,2022-09-04_BDC,88
192216,2022-09-05_BDC,104
232793,2022-09-06_BDC,121
273302,2022-09-07_BDC,126
313653,2022-09-08_BDC,119
354001,2022-09-09_BDC,102
394546,2022-09-10_BDC,74
435056,2022-09-11_BDC,44
475514,2022-09-12_BDC,109
515994,2022-09-13_BDC,125
556480,2022-09-14_BDC,119
596980,2022-09-15_BDC,121
637447,2022-09-16_BDC,127
677871,2022-09-17_BDC,69
718184,2022-09-18_BDC,48
758536,2022-09-19_BDC,121
798986,2022-09-20_BDC,124
839307,2022-09-21_BDC,122
879548,2022-09-22_BDC,135
919828,2022-09-23_BDC,136
960169,2022-09-24_BDC,69
1000514,2022-09-25_BDC,41
1040842,2022-09-26_BDC,137
1081227,2022-09-27_BDC,126
1121540,2022-09-28_BDC,137
1159261,2022-09-29_BDC,114
1196140,2022-09-30_BDC,126
33517,2022-10-01_BDC,90
74070,2022-10-02_BDC,50
114569,2022-10-03_BDC,130
155068,2022-10-04_BDC,138
195643,2022-10-05_BDC,134
236212,2022-10-06_BDC,149
276713,2022-10-07_BDC,158
317073,2022-10-08_BDC,113
357409,2022-10-09_BDC,75
397958,2022-10-10_BDC,162
438468,2022-10-11_BDC,154
478940,2022-10-12_BDC,159
519412,2022-10-13_BDC,155
559905,2022-10-14_BDC,151
600383,2022-10-15_BDC,138
640863,2022-10-16_BDC,91
681272,2022-10-17_BDC,153
721589,2022-10-18_BDC,137
761951,2022-10-19_BDC,171
802389,2022-10-20_BDC,179
842712,2022-10-21_BDC,164
882960,2022-10-22_BDC,104
923229,2022-10-23_BDC,49
963561,2022-10-24_BDC,116
1003918,2022-10-25_BDC,126
1044256,2022-10-26_BDC,121
1084631,2022-10-27_BDC,121
1124922,2022-10-28_BDC,103
1162669,2022-10-29_BDC,81
1199536,2022-10-30_BDC,41
1226516,2022-10-31_BDC,85
36892,2022-11-01_BDC,51
77480,2022-11-02_BDC,106
117967,2022-11-03_BDC,95
158482,2022-11-04_BDC,113
199056,2022-11-05_BDC,77
239618,2022-11-06_BDC,51
280105,2022-11-07_BDC,141
320465,2022-11-08_BDC,153
360821,2022-11-09_BDC,166
401360,2022-11-10_BDC,110
441859,2022-11-11_BDC,110
482331,2022-11-12_BDC,110
522805,2022-11-13_BDC,61
563307,2022-11-14_BDC,161
603778,2022-11-15_BDC,154
644280,2022-11-16_BDC,167
684674,2022-11-17_BDC,155
724988,2022-11-18_BDC,161
765349,2022-11-19_BDC,78
805789,2022-11-20_BDC,47
846110,2022-11-21_BDC,156
886357,2022-11-22_BDC,151
926645,2022-11-23_BDC,173
966969,2022-11-24_BDC,147
1007322,2022-11-25_BDC,154
1047659,2022-11-26_BDC,94
1088029,2022-11-27_BDC,46
1128319,2022-11-28_BDC,162
1166005,2022-11-29_BDC,161
1202916,2022-11-30_BDC,51
40300,2022-12-01_BDC,161
80889,2022-12-02_BDC,142
121377,2022-12-03_BDC,95
161887,2022-12-04_BDC,73
202361,2022-12-05_BDC,165
242924,2022-12-06_BDC,144
283358,2022-12-07_BDC,153
323691,2022-12-08_BDC,143
364132,2022-12-09_BDC,153
404705,2022-12-10_BDC,88
445205,2022-12-11_BDC,58
485679,2022-12-12_BDC,137
526158,2022-12-13_BDC,145
566633,2022-12-14_BDC,162
607079,2022-12-15_BDC,148
647610,2022-12-16_BDC,138
687977,2022-12-17_BDC,90
728336,2022-12-18_BDC,75
768722,2022-12-19_BDC,114
809159,2022-12-20_BDC,109
849456,2022-12-21_BDC,98
889681,2022-12-22_BDC,101
930006,2022-12-23_BDC,78
970319,2022-12-24_BDC,53
1010625,2022-12-25_BDC,24
1051001,2022-12-26_BDC,60
1091357,2022-12-27_BDC,83
1131643,2022-12-28_BDC,74
1169323,2022-12-29_BDC,80
1206275,2022-12-30_BDC,70
1229861,2022-12-31_BDC,91
